birdID,black,grey,yellow,brown,navy
125407,"1, 2","3, 4, 5",,,
129286,"1, 4, 5",2,3b,3a,
163814,,"1, 2, 3, 4, 5",,,
174295,,,,,"1, 2, 3, 4, 5"
179214,"1, 2, 3, 4, 5",,,,
179224,,"1, 2, 3, 4, 5",,,
189657,,"1, 2, 3, 4, 5",,,
196409,"1, 5",,,,"2, 3, 4"
228146,"2, 3","4, 5",,1,
229091,1,,,"2, 3, 4, 5",
229100,"1, 5",,,,"2, 3, 4, 6"
229115,"1, 2, 3, 4, 5",,,,
33373,,3,,"1, 2",
33374,,,,"1, 2, 3",
38886,,,"1, 2, 3, 4, 5",,
79148,,,,"2, 3, 4, 5",
80877,5,2,3b,"1, 3a, 4",
85389,"1, 2, 3, 4, 5",,,,
89108,"1, 2, 3, 4, 5",,,,
90466,"1, 2, 3, 4, 5",,,,
90468,"2, 3, 4, 5",6,,,
91068,,,"1, 2, 3, 4, 5",,
97235,1,,,,"2, 3, 4, 5"
97931,"1, 2, 3, 4, 5",,,,
98863,"2, 3, 5",,4,1,
98873,,"1, 2, 3, 4, 5",,,
99648,"2, 3, 4, 5",,,1,
99651,"1, 2, 3, 4, 5",,,,
